unique_event_ID,same_whale_ID,new_dist_shore_whale_m,nearest_X_land_UTM,nearest_Y_land_UTM
2008-08-31-K-111,2008-08-31-K-111,4396.880717,516553.3099,6398822.29
2008-08-31-K-110,2008-08-31-K-110,4103.227142,516531.1991,6399086.968
2008-08-20-K-080,2008-08-20-K-080,3159.275438,516429.1056,6400309.084
2010-07-25-K-007,2010-07-25-K-007,4359.85269,470856.6054,6449961.83
2009-07-06-K-058,2009-07-06-K-058,5129.914763,416589.4286,6451052.747
2009-05-24-K-013,2009-05-24-K-013,6304.098856,470993.7112,6449939.165
2009-08-03-K-070,2009-08-03-K-070,4640.612281,407994.8547,6457113.147
2010-07-25-K-010,2010-07-25-K-010,5877.175626,470856.6054,6449961.83
2010-07-25-K-012,2010-07-25-K-012,3810.019411,465949.0838,6452302.143
2008-06-11-K-057,2008-06-11-K-057,4115.178509,465344.1428,6452751.67
2010-07-25-K-013,2010-07-25-K-013,3430.554937,465949.0838,6452302.143
2009-08-03-K-069,2009-08-03-K-069,2786.854806,418785.7725,6456712.654
2008-07-16-K-007,2008-07-16-K-007,5321.170098,465374.5477,6452742.485
2009-05-24-K-014,2009-05-24-K-014,6366.466344,470931.9101,6449953.633
2009-06-07-K-103,2009-06-07-K-103,4129.999114,417744.2798,6458987.59
2008-07-02-K-107,2008-07-02-K-107,1202.585077,466428.2138,6465207.5
2008-06-15-K-005,2008-06-15-K-005,3581.94021,462322.633,6454646.439
2008-06-15-K-006,2008-06-15-K-006,3485.628291,462322.633,6454646.439
2009-06-21-K-084,2009-06-21-K-084,2710.189584,417612.7818,6459209.968
2010-07-19-K-007,2010-07-19-K-007,4903.990834,466176.9499,6465194.78
2008-08-20-K-002,2008-08-20-K-002,5176.818071,462015.1824,6465249.051
2010-07-25-K-082,2010-07-25-K-082,678.48156,454288.0551,6460532.28
2009-05-18-K-013,2009-05-18-K-013,2708.881432,453092.6272,6460997.376
2008-06-23-K-011,2008-06-23-K-011,1744.388619,453092.6272,6460997.376
2015-07-07-K-410,2015-07-07-K-410,196.027036,439246.7865,6500595.816
2015-07-22-K-090,2015-07-22-K-090,1053.400118,442816.473,6496050.004
2010-08-15-K-009,2010-08-15-K-009,3462.875772,453092.6272,6460997.376
2010-08-15-K-080,2010-08-15-K-080,1073.886996,494173.5774,6437921.673
2008-08-03-K-103,2008-08-03-K-103,2404.155707,490577.6905,6438319.627
