"","unique_event_ID","same_whale_ID","ship","count","count_factor","ship_speed","distance","whale_behavior","visibility","waves","X_whale_UTM","Y_whale_UTM","ship_speed_scaled","grid_ID","ship_whale_dist_round","det_idx","det_prob","adjusted_count","adjusted_count_sum","count_sum"
"3443","2013-06-16-S-006","2013-06-16-S-006","Volendam",2,"2-3",12.7062407,3993.166523,"BL-Blowing","good","calm",468331.2232,6458211.666,-0.575948990986,7521,3990,"2_good_3990",0.111069853039273,18.0066862904088,18.0066862904088,2
"3444","2013-06-16-S-007","2013-06-16-S-007","Volendam",2,"2-3",13.66025188,537.6231022,"BL-Blowing","good","calm",469344.1068,6458408.842,-0.28938100737,7522,540,"2_good_540",0.999969941124017,2.00006011955909,2.00006011955909,2
"3445","2013-06-16-S-008","2013-06-16-S-008","Volendam",2,"2-3",13.38387844,687.5042202,"BL-Blowing","good","calm",467222.7429,6459702.759,-0.372398671194,7709,690,"2_good_690",0.99754894752302,2.00491414979298,2.00491414979298,2
"3446","2013-06-17-N-010","2013-06-17-N-010","Diamond Princess",2,"2-3",17.17947062,1782.915836,"BL-Blowing","good","1'",436332.9726,6487159.94,0.767729684169,9818,1780,"2_good_1780",0.512625913856978,3.90148048691506,237.413677985813,15
"3447","2013-06-17-N-035","2013-06-17-N-035","Diamond Princess",3,"2-3",13.32354363,2967.840613,"SA-Surface-active","good","1'",438070.2556,6486319.017,-0.390522174572,9799,2970,"3_good_2970",0.204014599323734,14.7048299971884,208.758072974346,38
"3448","2013-06-18-N-021","2013-06-18-N-021","Zaandam",2,"2-3",13.60002895,2284.04696,"BL-Blowing","good","2'",439338.2172,6500590.542,-0.307470903987,10245,2280,"2_good_2280",0.338118902572392,5.91507894052684,172.775313769561,13
"3449","2013-06-21-N-040","2013-06-21-N-040","Statendam",2,"2-3",13.41397546,3986.043465,"RE-Resting","good","calm",438757.3225,6494260.91,-0.363358061907,10007,3990,"2_good_3990",0.111069853039273,18.0066862904088,154.745300096076,13
"3450","2013-06-26-N-044","2013-06-26-N-044","Star Princess",2,"2-3",17.85229358,394.5135219,"DF-Dive-fluke-up","good","calm",438746.9027,6491196.221,0.969833729719,9923,390,"2_good_390",0.999999999580503,2.000000000839,123.465856630739,21
"3451","2013-06-26-S-033","2013-06-26-S-033","Zuiderdam",2,"2-3",11.35848008,3988.528285,"BL-Blowing","good","calm",439977.7125,6472612.497,-0.980792300339,9218,3990,"2_good_3990",0.111069853039273,18.0066862904088,103.452371477122,12
"3452","2013-06-28-N-002","2013-06-28-N-002","Zaandam",2,"2-3",10.6965173,2984.057685,"DF-Dive-fluke-up","good","calm",436727.3452,6485509.393,-1.17963414105,9755,2980,"2_good_2980",0.202650335832372,9.86921631185631,27.5122377667208,3
"3453","2013-06-28-N-004","2013-06-28-N-004","Zaandam",3,"2-3",11.11798683,3484.005478,"BL-Blowing","good","calm",437366.4151,6487607.551,-1.05303219351,9839,3480,"3_good_3480",0.147825798080905,20.2941573050606,387.207454507712,37
"3454","2013-06-28-N-052","2013-06-28-N-052","Zaandam",2,"2-3",16.86669464,1983.642747,"BL-Blowing","good","calm",439019.5433,6494570.298,0.673777345044,10027,1980,"2_good_1980",0.432283239149157,4.62659621949837,89.6298370537937,13
"3455","2013-06-28-N-055","2013-06-28-N-055","Zaandam",2,"2-3",13.58265549,1518.407582,"DF-Dive-fluke-up","good","calm",438806.5763,6488751.042,-0.312689582242,9857,1520,"2_good_1520",0.640805158729194,3.12107350066638,136.830777470419,23
"3456","2013-06-29-N-033","2013-06-29-N-033","Island Princess",2,"2-3",11.13934557,3983.90571,"BL-Blowing","good","calm",439418.553,6484656.098,-1.04661640805,9741,3980,"2_good_3980",0.11165992419516,17.9115292654541,91.7629229829157,11
"3457","2013-06-30-N-058","2013-06-30-N-058","Amsterdam",2,"2-3",12.97495622,3983.772377,"BL-Blowing","good","1'",438604.5706,6484096.293,-0.495231630071,9723,3980,"2_good_3980",0.11165992419516,17.9115292654541,198.84571856665,41
